scheme_slug,scheme_name,question,answer
rmewf,RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,Can I Take The Benefit Of This Scheme For Treatment In Any Private Or Government Hospital?,No. the financial assistance will be provided for expenditure incurred at recognized government hospitals at rates approved under CGHS/ ECHS.
rmewf,RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,Can I Give Bank Details Of Any Bank?,No. Account details of only State Bank of India (SBI) or Punjab National Bank (PNB) is valid for application.
rmfgp,Reimbursement of membership Fee in Government promoted E-Commerce Portals,What is this scheme ?,Reimbursement of Membership fee of Government promoted e-commerce portals Scheme is a sub scheme under National Scheduled Caste and Scheduled Tribe Hub (NSSH) scheme.
rmfgp,Reimbursement of membership Fee in Government promoted E-Commerce Portals,What are the benefits ?,"The financial assistance may be provided 80% or a maximum of [?] 25,000/- (excluding applicable taxes) whichever is less, per financial year for new as well as renewals for SC/ST MSE."
rmscitc,Reimbursement of the MS-CIT Course,Who can apply for the MS-CIT course fee reimbursement?,Children of registered construction workers in Maharashtra.
rmscitc,Reimbursement of the MS-CIT Course,Is there a limit to the number of children who can benefit from this scheme?,"Yes, the reimbursement is available for up to two children per registered worker."
rmsrppp,Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar,"What is the purpose of the ""Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar"" scheme?","The ""Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar"" scheme has been introduced to recognize and encourage exceptional performance by NCC cadets who secure medals during various national-level training camps conducted in the current training year."
rmsrppp,Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar,Who is eligible to receive the cash incentive under this scheme?,"Only those NCC cadets who are actively participating in the current training year and have secured either a gold or silver medal during camps such as the Republic Day Camp (RDC), Thal Sainik Camp (TSC), Vayu Sainik Camp (VSC), or Nav Sainik Camp (NSC) are eligible to receive the cash incentive."
rof,Refund of Fees,Who is eligible for fee refund under this scheme?,"Students admitted to a college under the Higher Education Department, Madhya Pradesh."
rof,Refund of Fees,What happens if a student is expelled during the academic session?,Only the caution money will be refunded.
rofpsssisspi,Reimbursement of Fees of ST Students Studying in Sainik School Private Institutions,What is this scheme about?,"The scheme provides free arrangements for accommodation, school fees, and studies for Scheduled Tribe (ST) students studying in Sainik Schools and private institutions."
rofpsssisspi,Reimbursement of Fees of ST Students Studying in Sainik School Private Institutions,Who is eligible for this scheme?,The applicant must be a native of Madhya Pradesh and belong to the Scheduled Tribe (ST) category.
rosch,Running of Scheduled Caste Hostel,Who is eligible to apply for this scheme?,"The applicant must belong to the Scheduled Caste category, be a native of Madhya Pradesh, and be a regular student of a recognized institution."
rosch,Running of Scheduled Caste Hostel,Is there an income limit for admission to the hostels?,"No, there is no income limit for admission to senior hostels under this scheme."
rosftcw,Refund of Subscriptions for the Construction Workers,What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of West Bengal?,The building worker must be at least 18 years old and not older than 60 years old.
rosftcw,Refund of Subscriptions for the Construction Workers,Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
rotffssipsic,Reimbursement of Tution Fee for SC/ST/OBC/Min students in Public Schools in Class I to XII,What is the maximum annual family income allowed for applicants under this scheme?,"The family income must not exceed ₹3,00,000/- per annum, and a valid income certificate from a Delhi authority is required."
rotffssipsic,Reimbursement of Tution Fee for SC/ST/OBC/Min students in Public Schools in Class I to XII,Which categories of students are eligible for fee reimbursement under this scheme?,"Students belonging to Scheduled Castes (SC), Scheduled Tribes (ST), and Other Backward Classes (OBC) are eligible for this benefit."
rpa,“RAKSHAK PURASKARS’’ Award,"Can Individuals Who Have Received Other Awards In Different Fields Apply For The ""RAKSHAK PURASKARS"" Award?","No, applicants should not be recipients of any other award in the same field during the same year to be eligible for the ""RAKSHAK PURASKARS"" Award."
rpa,“RAKSHAK PURASKARS’’ Award,"Can Individuals From Any Profession Apply For The ""RAKSHAK PURASKARS"" Award?","Yes, individuals from various professions can apply for the award if they meet the eligibility criteria."
rpcs,Rearing Pond Construction Scheme,What is the financial assistance provided under this scheme?,"SC/ST beneficiaries receive up to 80% assistance (maximum [?]4,00,000), while others receive up to 70% (maximum [?]3,50,000) for constructing rearing ponds."
rpcs,Rearing Pond Construction Scheme,What is the size requirement for pond construction?,The minimum required size is one acre of water area with a land-to-water ratio of at least 1:1.3.
rphdsscsts,Research (PhD) Scholarship for SC/ST Students,How much financial support is provided under this scheme?,"Eligible students receive [?]16,000/- per month, totaling [?]1,92,000/- per year."
rphdsscsts,Research (PhD) Scholarship for SC/ST Students,Who is eligible to apply for this scholarship?,"Applicants must be native to Madhya Pradesh, registered for PhD research at a recognized university in India, belong to the SC/ST category, hold a postgraduate degree with minimum qualifying marks as per UGC guidelines, and have an annual family income not exceeding [?]3,00,000/-."
rpkpcy,Rajya Pratibha Khoj Pariksha Chhatravriti Yojana,Who can apply for the scheme?,"Students of Class 10 or 12 in Rajasthan’s government, private recognized schools, or Swami Vivekananda Model Schools."
rpkpcy,Rajya Pratibha Khoj Pariksha Chhatravriti Yojana,What is the minimum academic requirement to apply?,A minimum of 50% marks in the previous class (Class 9 or 11 as applicable).
rpsbwodapd,Retrofitted Petrol Scooters - Tamil Nadu,What modifications are made to the petrol scooters?,"The petrol scooters are retrofitted with modifications to accommodate orthopedically affected individuals, particularly those with leg impairments."
rpsbwodapd,Retrofitted Petrol Scooters - Tamil Nadu,Can visually impaired individuals apply for the scheme?,"No, visually impaired individuals can not apply for the scheme."
rpsy,Rashtriya Parivar Sahayata Yojana,What is this scheme ?,This scheme is being executed for the family members who are unable to make their livelihood after the death of the primary breadwinner of the family.
rpsy,Rashtriya Parivar Sahayata Yojana,What are the benefits ?,"Eligible applicants are entitled to a lump sum grant of Rs. 20,000/-"
rpyelstp,Employment Linked Skill Training Programme (ELSTP),Who is eligible for this scheme?,"Unemployed youth, school dropouts, and other disadvantaged youth who are residents of Uttarakhand."
rpyelstp,Employment Linked Skill Training Programme (ELSTP),Is there any fee for the training?,"No, the training is completely free of cost."
rraslrrc,Relief and Rehabilitation Assistance to Sri Lankan Refugees in the Refugee Camps,"What are ""Exit Permits,"" and who receives them?","Answer: ""Exit Permits"" are issued to refugees who are willing to go back to Sri Lanka or any other country at their own cost. They are issued by the respective District Collectors."
rraslrrc,Relief and Rehabilitation Assistance to Sri Lankan Refugees in the Refugee Camps,"How is transportation, including vehicles and petrol, handled under the scheme?","Answer: Four vehicles have been approved by MHA, and the expenditure on petrol for these vehicles is reimbursed by MHA."
rrcgcdb,"Replanting & Rejuvenation of Coconut Garden"" by the Coconut Development Board",How is the financial assistance for cutting & removal calculated under the R&R scheme?,"Coconut farmers receive [?]1,000 per palm, with a maximum limit of [?]32,000 per hectare for cutting & removal."
rrcgcdb,"Replanting & Rejuvenation of Coconut Garden"" by the Coconut Development Board",Can tenants cultivating lands owned by Municipalities apply for the R&R scheme?,"Yes, tenants need consent from the municipality and a cultivation certificate for application."
rrf,Ramalingaswami Re-Entry Fellowship,Who Is Eligible To Apply?,"Indian nationals working abroad as Post-doctoral fellows/Scientists in any area of Life Sciences & Biotechnology, Bio-Engineering, Health Care (human and animal), Agriculture and Veterinary Biotechnology, Bio- Energy and allied areas are eligible to apply."
rrf,Ramalingaswami Re-Entry Fellowship,Are Overseas Citizens Of India Eligible To Apply?,"No, overseas citizens of India are not eligible to apply"
rriqsftcw,Retirement Relief in Quitting Service for the Construction Workers,What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of the U.T. Administration of Dadra and Nagar Haveli and Daman and Diu?,The building worker must be at least 18 years old and not older than 60 years old.
rriqsftcw,Retirement Relief in Quitting Service for the Construction Workers,Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
rrsdmsmecpu,Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units,What are the objectives of the scheme?,The objective of the scheme is to envisage supporting defunct MSMEs in the manufacturing sector including cashew processing units through assistance in the form of capital grants and working capital incentives.
rrsdmsmecpu,Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units,When did this scheme launch?,The Government of Kerala launched the scheme for defunct MSMEs including cashew processing units during year 2020-21.
rs-mesifai,"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Indus",How can an entrepreneur escalate a grievance if not satisfied with the services rendered under the Rent Subsidy scheme?,"If an entrepreneur is not satisfied with the services, they can escalate the grievance to the Director, Directorate of Industries and Commerce, Industrial Estate, Thattanchavady, Puducherry-605009. Contact details: +91-413-2248476, Email: ind.pon@nic.in."
rs-mesifai,"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Indus","What is the definition of ""Expansion/Diversification/Modernization"" concerning eligibility for subsidies?","'Expansion, diversification, and modernization' refer to activities resulting in at least a 25% increase in both plant and machinery value and production capacity."
rsahps,Rural Sports and Health Promotion Scheme,How much financial support is provided?,"The amount is ₹17,960/- allocated to the per Gram Panchayat."
rsahps,Rural Sports and Health Promotion Scheme,Who can apply for this scheme?,Every Gram Panchayat in Uttarakhand is eligible.
rsai9csu,Refinance Scheme for Acquisition of ISO 9000 Certification for SSI Unit (ISO 9000),How do I create an account and begin the registration process on the application portal?,"To create your account, visit the PIPDIC website at https://pipdic.in/, click ""Login"", and then select the ""New customer"" link. Enter a unique username, your email address, a secure password, and the Captcha code, then click ""Register"" to complete the registration process."
rsai9csu,Refinance Scheme for Acquisition of ISO 9000 Certification for SSI Unit (ISO 9000),What is the purpose of the One-Time Password verification during the login process?,"The OTP is a security measure sent to your registered email address to verify your identity and ensure that only authorized users can access your account. You must enter this OTP and click ""Login"" to proceed to your customer dashboard."
rsajsy,Rajasthan Varishth Patrakar Samman Yojana,Who implements the scheme?,"The Information and Public Relations Department, Government of Rajasthan."
rsajsy,Rajasthan Varishth Patrakar Samman Yojana,How much is the monthly honorarium under this scheme?,"Financial assistance of ₹5,000/- per month."
rsb,Residential School For Blinds,What Is The Address Of The Residential School?,"The Residential School is located at Roop Nagar, near Fire Brigade Office, Muthi, Jammu, 180013."
rsb,Residential School For Blinds,What Is The Intake Capacity Of The Residential School?,The intake capacity of the Residential School is 50 inmates.
rsdarc,Reimbursement of Stamp Duty and Registration Charges,"How can applicants monitor the status of their application, and where can they find this information?",The status can be tracked at https://www.msmeonline.tn.gov.in/incentives/app_track.php?id=Track%20Your%20Status.
rsdarc,Reimbursement of Stamp Duty and Registration Charges,Is there a specific process or platform for enterprises to verify their eligibility for the scheme?,"Yes, enterprises can verify their eligibility at https://www.msmeonline.tn.gov.in/incentives/know_your_eligibility.php."
rsds,Research Scholarship for Disabled Students,Who is eligible for this scholarship?,"To qualify, candidates must be natives of Madhya Pradesh, disabled, registered for PhD research at a recognized university in India, have a postgraduate degree with qualifying marks as per UGC guidelines, and their annual family income must not exceed [?]1,00,000."
rsds,Research Scholarship for Disabled Students,How much financial support is provided under the scheme?,"Each eligible student receives [?]16,000 per month, amounting to [?]1,92,000 per year."
rsdss,Registration & Stamp Duty Subsidy Scheme,"What are the eligible types of business entities for this scheme, and what linkage is required to Aadhaar?","Eligible entities include Proprietorship Firms, Private Limited Companies, Public Limited Companies, Registered Partnership Firms, and Limited Liability Partnerships. Their bank accounts should be linked to Aadhaar."
rsdss,Registration & Stamp Duty Subsidy Scheme,"Under what conditions are units excluded from availing benefits under the ""Registration & Stamp Duty Subsidy Scheme""?",Units availing similar financial incentives under any other policy of the Government of Goa are not eligible for benefits under this scheme.
rsesthsdo-faascdmf,Reimbursement/ Spot Exemption of Sales Tax on High-Speed Diesel Oil,What is the maximum limit for the reimbursement of sales tax on high-speed diesel oil for a registered boat?,"The reimbursement is subject to a maximum of 15,000 liters per boat per annum."
rsesthsdo-faascdmf,Reimbursement/ Spot Exemption of Sales Tax on High-Speed Diesel Oil,How often should the mechanized boat or motorized fishing craft be renewed to meet the eligibility criteria?,"The renewal should be on an annual basis, and the diesel passbook should be renewed monthly."
rsimp,Revised Scheme For Incentives To Milk Producers,"What criteria define a ""Bachat Gat,"" or group of farmers, for the specific purpose of participating in this particular scheme, even if the organization is not otherwise formally registered?","A ""Bachat Gat"" means a group of two or more farmers who have come together for the common intention of taking benefits under the scheme, provided they register with the Directorate of Animal Husbandry and Veterinary Services, Panaji-Goa."
rsimp,Revised Scheme For Incentives To Milk Producers,"Is it mandatory for farmers applying for this support to have an existing registration status within other relevant Government departments, such as Agriculture?","Yes, applicants should mandatorily be registered with the Agricultural Department, ensuring their status as an Agriculturist is recorded under the Agricultural Database."
rsps,Retired Sportsperson Pension Scheme,"What is the main objective of the ""Retired Sportsperson Pension Scheme""?","The primary objective of the ""Retired Sportsperson Pension Scheme"" is to offer financial assistance in the form of a monthly pension to retired male sportspersons of Gujarat who have brought recognition to the state by securing medals in national sporting events."
rsps,Retired Sportsperson Pension Scheme,"Who is eligible to apply for the ""Retired Sportsperson Pension Scheme""?","Any male sportsperson who is a resident of Gujarat, has attained the age of 50 years or more, and has won a medal while representing the state in a national-level sports competition is eligible to apply under the ""Retired Sportsperson Pension Scheme""."
rsseehmsie-mp,'Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' unde,How can I access the Citizen's Charter for the 'Rent Subsidy for Sales Emporia' scheme?,The Citizen's Charter for the 'Rent Subsidy for Sales Emporia' scheme can be accessed on the official website: https://dic.py.gov.in/sites/default/files/citizencharter.pdf.
rsseehmsie-mp,'Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' unde,What specific expenses are covered under the rent subsidy for Sales Emporiums/Showrooms?,"The rent subsidy covers 90% of the rent expenses, subject to a maximum of [?]10,000 per month for a duration of three years, supporting the financial burden associated with establishing and maintaining a Sales Emporium."
rssgias,Research Study/Seminar (Grant-in-Aid Scheme),"If my institution focuses on research related to official statistics, what minimum staffing capability is required regarding statisticians, economists, and social scientists?","The institution must have qualified statisticians, economists, and social scientists on its staff."
rssgias,Research Study/Seminar (Grant-in-Aid Scheme),"If I have already received assistance for presenting a research paper abroad during this current financial year, can I still submit a separate request for this type of grant?",An applicant official will not be recommended for more than one proposal for Travel Grant Assistance during the current financial year if the purpose is presenting their paper abroad.
rssvyeggmdy,Rajya Samekit Sahkari Vikas Yojana - Ganga Gaay Mahila Dairy Yojana,Who are eligible beneficiaries?,"Women, Scheduled Caste (SC), Scheduled Tribe (ST), and general category members of milk-producing cooperative societies are eligible."
rssvyeggmdy,Rajya Samekit Sahkari Vikas Yojana - Ganga Gaay Mahila Dairy Yojana,Is membership in a cooperative society mandatory?,"Yes, applicants must be members of a milk cooperative society. Non-members can become eligible by joining the society and paying a membership fee of ₹25."
rstdm,Refinance Scheme for Technology Development and Modernization,How do I create an account and begin the registration process on the application portal?,"To create your account, visit the PIPDIC website at https://pipdic.in/, click ""Login"", and then select the ""New customer"" link. Enter a unique username, your email address, a secure password, and the Captcha code, then click ""Register"" to complete the registration process."
rstdm,Refinance Scheme for Technology Development and Modernization,What is the purpose of the One-Time Password verification during the login process?,"The OTP is a security measure sent to your registered email address to verify your identity and ensure that only authorized users can access your account. You must enter this OTP and click ""Login"" to proceed to your customer dashboard."
rt,Rise Together,What is the purpose of this scheme?,The programme focuses on introducing and developing community-oriented entrepreneurship in J&K.
rt,Rise Together,Who is eligible for rise together scheme?,"Any domicile of J&K, essentially registered with Mission Youth, J&K. | Only the Youth Groups with minimum 3 youth members shall be eligible for Financial Assistance under the scheme."
rta2009,Right to Education Act 2009 - Uttarakhand,What benefits are provided under the scheme?,"Eligible children receive free education, textbooks, uniforms, and the benefits of the PM Poshan Yojana."
rta2009,Right to Education Act 2009 - Uttarakhand,Up to which class do children receive free education under this scheme?,Children are eligible for free education and benefits up to Class 8 in private schools.
rtay-osdp,Remembering Tiatr Artistes of Yesteryears - Organisation of Special Dedicated Programmes,What is the minimum duration requirement for performances under this cultural programme dedicated to late artistes?,The programme duration should be at least 2 hours for musical shows and 3 hours for tiatr performances to qualify for support.
rtay-osdp,Remembering Tiatr Artistes of Yesteryears - Organisation of Special Dedicated Programmes,Can individual artists apply for financial assistance to organize memorial programmes for deceased tiatr personalities?,"Yes, individuals can apply along with troupes and institutions. All three categories are eligible to produce and stage special programmes dedicated to particular artistes of yesteryears."
rtccuk,Rural Technology Complex,"What is the ""Rural Technology Complex""?","The ""Rural Technology Complex"" is a government-supported initiative established to promote the development, demonstration, and dissemination of sustainable and eco-friendly rural technologies to enhance the livelihood of rural communities."
rtccuk,Rural Technology Complex,"Who implements the activities under the ""Rural Technology Complex""?","The activities under the ""Rural Technology Complex"" are implemented by the G. B. Pant National Institute of Himalayan Environment, functioning under the Ministry of Environment, Forest and Climate Change, Government of India."
rtfd,Rehabilitation Treatment For The Disabled,What is Rehabilitation treatment for the disabled Scheme ?,"The scheme aims to provide medical treatment, assistive devices, and other rehabilitation services to persons with disabilities to improve their quality of life."
rtfd,Rehabilitation Treatment For The Disabled,What are the benefits ?,"The scheme provides medical treatment, assistive devices, rehabilitation services, training and education, and financial assistance for marriage and equipment purchase"
rtftsccw,Reimbursement of Tuition Fees for Typewriting and Shorthand Courses for Children of Widows,Can the applicant submit the application without the support of a Member of Legislative Assembly or Member of Parliament?,"While it's not explicitly stated, the involvement of these officials is recommended for certification of widowhood and children's status."
rtftsccw,Reimbursement of Tuition Fees for Typewriting and Shorthand Courses for Children of Widows,Can the tuition fees be reimbursed for courses other than typewriting and shorthand?,"No, the reimbursement is specifically for typewriting and shorthand courses."
rtfwesw-sw,Reimbursement of Tuition Fees to the Wards of Ex-Servicemen/Widows (Sainik Welfare),Which Department of the UT of Puducherry administers this scheme?,"The scheme is administered by the Department of Sainik Welfare, Union Territory of Puducherry."
rtfwesw-sw,Reimbursement of Tuition Fees to the Wards of Ex-Servicemen/Widows (Sainik Welfare),"Where can I find the URL of the Official Website of the Department of Sainik Welfare, Puducherry?","The URL of the Official Website of the Department of Sainik Welfare, Puducherry is: https://sainik.py.gov.in/."
rtif,Right To Information Fellowship,Will Short-Listed Candidates Be Required To Attend An Interview Or Presentation?,"Yes, short-listed candidates may be called for an interview or presentation in Delhi as part of the final selection process."
rtif,Right To Information Fellowship,Can Individuals Working Under Central/State Government Or Public Sector Undertakings Apply For The Program?,"Yes, individuals working under Central/State Government or Public Sector Undertakings are eligible to apply. They need to submit their applications through proper channel and may send an advance copy along with the required enclosures."
rtmeas,Rotavator/Thresher Machine Equipment Assistance Scheme,Who can apply for this scheme?,Scheduled Tribe farmers from BPL families living in tribal or forest areas.
rtmeas,Rotavator/Thresher Machine Equipment Assistance Scheme,What equipment is covered under this scheme?,The equipment is covered: a rotavator (6 feet) and a thresher machine.
rtsot,Raising the Standard of Tiatr,How many people can receive ticket reimbursement under this program when I attend a drama performance with others?,The program provides reimbursement for ticket costs for up to 2 persons maximum. You can claim reimbursement for yourself and one additional person when attending high-standard drama performances.
rtsot,Raising the Standard of Tiatr,What types of performances are eligible for ticket reimbursement under this cultural development initiative?,"You can claim reimbursement for attending high-standard dramas performed in Hindi, Marathi, English, or any other languages. The performances must meet high-quality standards to qualify for the reimbursement benefit."
rttsc,Reimbursement of Tuition Fee and Transport Facility to Scheduled Castes Students Studying in Technic,What is the objective of the Reimbursement of Tuition Fee and Transport Facility scheme?,The scheme aims to provide financial assistance to Scheduled Castes students in Haryana pursuing AICTE-approved technical courses by reimbursing tuition fees and transport costs.
rttsc,Reimbursement of Tuition Fee and Transport Facility to Scheduled Castes Students Studying in Technic,Who is eligible for tuition fee reimbursement under this scheme?,"Scheduled Castes students of Haryana with an annual parental income between [?]2.5 lakh and [?]3.5 lakh, admitted through centralized counselling, are eligible for tuition fee reimbursement."
rttuw,Relief to the Unregistered Workers,Who is eligible for the financial assistance under this scheme?,Dependents of unregistered building and construction workers who died in an accident at a construction site or related project.
rttuw,Relief to the Unregistered Workers,What is the amount of financial assistance provided for accidental death?,"[?]50,000 is provided to the dependents of the deceased unregistered worker."
runcpp-pbaocwwb,Relief under Natural Calamity / Pandemic Period (PBAOCWWB),How is the financial assistance disbursed to the beneficiaries?,The amount is credited through Direct Benefit Transfer (DBT) into the bank account of the registered construction worker.
runcpp-pbaocwwb,Relief under Natural Calamity / Pandemic Period (PBAOCWWB),What is the monetary benefit offered under this scheme?,"The beneficiaries receive [?]2,000 credited as DBT into their bank accounts."
rv,Silk Tree Plantation,Who is eligible for the scheme?,The scheme is open to resident farmers of Uttarakhand who belong to a cluster or group and have land available for plantation. Priority is given to farmers already practicing sericulture or those with mulberry saplings.
rv,Silk Tree Plantation,How is a beneficiary cluster defined?,"A cluster consists of a minimum of 25 farmers in mountainous areas and 50 farmers in plain areas, with each cluster having land for at least 300 plants."
rvp,Rashtriya Vigyan Puraskar,What is Rashtriya Vigyan Puraskar (RVP)?,"Rashtriya Vigyan Puraskar is a prestigious national-level award in India, recognizing outstanding contributions in the field of science and technology."
rvp,Rashtriya Vigyan Puraskar,Who organizes Rashtriya Vigyan Puraskar?,"The award is organized and presented by the Ministry of Science and Technology, Government of India."
rvy,Raah-Veer Yojana,Who can benefit under this scheme?,Any individual who saves an accident victim by providing timely medical help.
rvy,Raah-Veer Yojana,What is the reward amount?,"₹25,000 per recognized act of assistance."
rythu-bima,Rythu Bima Scheme,Who is eligible to enroll in the Rythu Bima Scheme?,"Farmers aged between 18 to 59 years, residing in Telangana, and holding a Pattadar Passbook (PPB) or RoFR Patta are eligible."
rythu-bima,Rythu Bima Scheme,Is enrolment under the Rythu Bima Scheme mandatory?,"No, the scheme is voluntary and open to all eligible farmers."
s-esdp,Self-Employment Scheme For Dependents Of Prisoners,What is the “Self-Employment Scheme for Dependents of Prisoners” scheme?,"Under the scheme, financial assistance shall be given only once for the dependents of a prisoner for the purpose and dependents are eligible for the assistance only during the period of imprisonment of the convict. It aims to assist/encourage resourceless wives, unemployed and unmarried sons, daught"
s-esdp,Self-Employment Scheme For Dependents Of Prisoners,Which department has launched this scheme?,"Social Justice Department, Government of Kerala"
s-kerala,Snehasparsham,What is the “Snehasparsham” scheme?,"The Government of Kerala has launched the ""Snehasparsham"" scheme to protect and help unwed mothers. The problems of unwed mothers are linked with various socio-economic and cultural variables. In Kerala, this problem is coupled with the ignorance and exploitation of the backward classes. It has been"
s-kerala,Snehasparsham,What is the aim of the scheme?,The aim of this scheme is to protect and help unwed mothers in the state of Kerala.
s100puk,Super-100 Programme - Uttarakhand,How many students are selected under the programme?,A total of 100 students of Class 12 Science stream are selected every academic session.
s100puk,Super-100 Programme - Uttarakhand,How are students selected for the Super-100 Programme?,"Students are selected based on their academic performance. From each block, one Class 12 Science student is chosen who had secured the first position in Class 10 in their development block."
s30s,"""SUPER 30"" Scheme",What is the benefit provided under the Super 30 Scheme?,"Under the Super 30 Scheme, selected students may choose any nationally reputed Coaching Institution outside Tripura for a two-year coaching program for JEE/NEET, with capped coaching and accommodation fees."
s30s,"""SUPER 30"" Scheme",Who is eligible to apply for the Super 30 Scheme?,"Eligibility for the Super 30 Scheme includes being a resident of Tripura, a student from Scheduled Tribe (ST)/Scheduled Caste (SC)/Person with Disability (PH) community, passing the class 10th Pre-Board/Pre-Test Exam from recognized schools in Tripura with 50% marks, and the family's annual income n"
sa-affdf,Subsistence Allowance (Sainik Welfare),Which Department of the UT of Puducherry administers this scheme?,"The scheme is administered by the Department of Sainik Welfare, Union Territory of Puducherry."
sa-affdf,Subsistence Allowance (Sainik Welfare),"Where can I find the URL of the Official Website of the Department of Sainik Welfare, Puducherry?","The URL of the Official Website of the Department of Sainik Welfare, Puducherry is: https://sainik.py.gov.in/."
sa-spdpddpmp,Sparsh Abhiyan: Surgery to Prevent Disability of Poor and Destitute Disabled People of Madhya Prades,I have completed my application form and gathered all the necessary documents; where exactly should I submit these materials at the district level?,"Applications must be submitted to the Joint Director or the Deputy Director, Panchayat and Social Justice, at the appropriate district level office."
sa-spdpddpmp,Sparsh Abhiyan: Surgery to Prevent Disability of Poor and Destitute Disabled People of Madhya Prades,Which specific governmental act or official definition must my disability align with in order for me to be considered eligible for surgical assistance?,"The applicant must possess a disability as defined specifically under Section-2 of the Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) Act 1995."
sa,Safety Audit,What is the Safety Audit Scheme?,The Safety Audit Scheme provides financial support to MSMEs for conducting safety audits and purchasing safety equipment to enhance workplace safety.
sa,Safety Audit,Who is eligible to apply under this scheme?,"All Micro, Small, and Medium Enterprises (MSMEs) that are registered and operational are eligible, subject to certain conditions."
saaopsg,Scheme For Arjuna Awards For Outstanding Performance In Sports And Games,What Are The Required Documents For Applying To This Scheme?,- Date of Birth Proof | - User Photograph (Image should be in JPEG/PNG/JPG & size not exceed 5 MB) | - Upload user signature (Signature should be in JPEG/PNG/JPG & size not exceed 250 KB) | - Vigilance Certificate (in case of Govt./PSU/Autonomous organization) | - Certificates of International Achie
saaopsg,Scheme For Arjuna Awards For Outstanding Performance In Sports And Games,What Is The Amount Of The Cash Prize That Will Be Awarded To The Winner?,"The award consists of a statuette, a certificate, a ceremonial dress, and a cash award of [?] 15,00,000 which will be presented to the winners in a function to be held at a place and on a date to be decided by the Government of India."
saceiasre,Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening t,"What is the objective of the ""Scheme of Assistance for Common Environment Infrastructure""?","The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance."
saceiasre,Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening t,"What is the objective of the ""Scheme of Assistance for Strengthening the Regulation and Environmental Compliance"" component?","The component aims to support environmental sustainability by funding scientific research, pollution control initiatives, environmental monitoring, and capacity-building programs."
saceicbspv,Scheme of Assistance for Common Environment Infrastructure: Common Boiler Project by SPV Constituted,"What is the objective of the ""Scheme of Assistance for Common Environment Infrastructure""?","The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance."
saceicbspv,Scheme of Assistance for Common Environment Infrastructure: Common Boiler Project by SPV Constituted,"What is the purpose of the ""Common Boiler Project by SPV Constituted by Minimum 10 MSME’s"" component?",The objective of the component is to promote energy efficiency and cost reduction by encouraging MSMEs to use a common boiler instead of maintaining individual boilers.
saceidge,Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate,"What is the objective of the ""Scheme of Assistance for Common Environment Infrastructure""?","The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance."
saceidge,Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate,"What is the objective of the ""Scheme for Development of Green Estate"" component?","The purpose of the component is to facilitate the relocation or retrofitting of polluting industrial units to designated green estates, thereby improving environmental sustainability and compliance with pollution control norms."
saceieif,Scheme of Assistance for Common Environment Infrastructure: Financial Assistance for Common Environm,"What is the objective of the ""Scheme of Assistance for Common Environment Infrastructure""?","The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance."
saceieif,Scheme of Assistance for Common Environment Infrastructure: Financial Assistance for Common Environm,"What is the objective of the ""Financial Assistance for Common Environmental Infrastructure Facilities"" component?","The scheme aims to provide financial support for the establishment and upgradation of environmental infrastructure to promote pollution control, waste management, and sustainable industrial practices."
sacipsctmrgiia,Subsidy for Asset Creation for Intellectual Property: Subsidy on the Cost of Trade Mark Registration,What is the reimbursement timeline for the scheme?,Reimbursement needs to be claimed within 6 months from the date of obtaining Patent/Trade Mark Registration/Geographical Indications.
